Empresa,Ticker1,Ticker2,Ticker3
Banco Modal,MODL4,MODL11,MODL3
Boa Safra,SOJA3,,
Caixa Seguridade,CXSE3,,
Grupos GPS,GGPS3,,
Mater Dei,MATD3,,
Allied Tecnologia,ALLD3,,
Blau Farmacêutica,BLAU3,,
Atma Participações,ATMP3,,
Assaí,ASAI3,,
Grupo JSL,JSLG3,,
CSN Mineração,CMIN3,,
Eletromídia,ELMD3,,
Orizon,ORVR3,,
OceanPact,OPCT3,,
Westwing,WEST3,,
Cruzeiro Do Sul Educacional,CSED3,,
Bemobi,BMOB3,,
Jalles Machado,JALL3,,
Focus Energia,POWE3,,
Mosaico,MOSI3,,
Mobly,MBLY3,,
Espaçolaser,ESPA3,,
Vamos,VAMO3,,
Intelbras SA,INTB3,,
Hedge Investiments,CJCT11,,
BM Brascam Lajes Corporativas,BMLC11,,
Real Estate Capital,RECR11,,
Urca Prime,URPR11,,
Devant Recebíveis Imobiliários,DEVA11,,
Mérito Investimentos,MFAI11,,
Neogrid,NGRD3,,
Alphaville S.A.,AVLL3,,
3R Petroleum,RRRP3,,
Aeris,AERI3,,
Enjoei,ENJU3,,
Méliuz,CASH3,,
Track & Field,TFCO4,,
Grupo Mateus,GMAT3,,
Sequoia,SEQL3,,
Boa Vista SCPC,BOAS3,,
Melnick,MELK3,,
Hidrovias do Brasil,HBSA3,,
Simpar,SIMH3,,
Cury,CURY3,,
Plano & Plano,PLPL3,,
Petz,PETZ3,,
Pague Menos,PGMN3,,
Lavvi Incorporadora,LAVV3,,
Quero-Quero,LJQQ3,,
d1000,DMVF3,,
Grupo Soma,SOMA3,,
Ambipar,AMBP3,,
Allpark,ALPK3,,
Mitre Realty,MTRE3,,
Moura Dubeux,MDNE3,,
Bardella,BDLL4,BDLL3,
Santos - Brasil,STBP3,,
Randon Part,RAPT3,,
Engie,EGIE3,,
MMX Mineração,MMXM11,MMXM3,
Lupatech,LUPA3,,
Inepar,INEP4,INEP3,
Ger Paranapanema,GEPA4,GEPA3,
Cedro,CEDO4,CEDO3,
Netflix,NFLX34,,
Nike,NIKE34,,
MC Donald's,MCDC34,,
Home Depot,HOME34,,
Ford Motors,FDMO34,,
Comcast,CMCS34,,
Amazon,AMZO34,,
Rodobens,RDNI3,,
Saraiva Livr,SLED4,,
Rossi Resid,RSID3,,
Mundial,MNDL3,,
Metal Leve,LEVE3,,
Karsten,CTKA4,CTKA3,
Iochpe-Maxion,MYPK3,,
Grendene,GRND3,,
Locamerica,LCAM3,,
C&A,CEAB3,,
Le Lis Blanc,LLIS3,,
Grazziotin,CGRA3,CGRA4,
Estrela,ESTR4,,
Direcional,DIRR3,,
Coteminas,CTNM3,CTNM4,
Anima,ANIM3,,
Even,EVEN3,,
Marisa,AMAR3,,
Movida,MOVI3,,
JHSF,JHSF3,,
Helbor,HBOR3,,
PDG Realty,PDGR3,,
Arezzo,ARZZ3,,
Ez Tec,EZTC3,,
Cia Hering,HGTX3,,
Alpargatas,ALPA3,ALPA4,
Smiles,SMLS3,,
Localiza,RENT3,,
MRV Engenharia,MRVE3,,
Magazine Luiza,MGLU3,,
Lojas Renner,LREN3,,
Cogna,COGN3,,
Whirlpool,WHRL4,,
Whirpool,WHRL3,,
Via Varejo,VVAR3,,
Tecnisa,TCSA3,,
Starbucks,SBUB34,,
Ser Educacional,SEER3,,
Saraiva livr,SLED4,,
Lojas Americanas,LAME4,LAME3,
Hoteis Othon,HOOT4,,
Gafisa,GFSA3,,
YDUQS,YDUQ3,,
Cyrela Realty,CYRE3,,
CVC,CVCB3,,
São Martinho,SMTO3,,
MDiasBranco,MDIA3,,
CAMIL,CAML3,,
Brasilagro,AGRO3,,
Biosev,BSEV3,,
Minerva,BEEF3,,
Vivara,VIVA3,,
Carrefour,CRFB3,,
Pão de Açúcar,PCAR3,,
Natura,NTCO3,,
Marfrig,MRFG3,,
JBS,JBSS3,,
BRF,BRFS3,,
BRB Banco,BSLI4,BSLI3,
Battistella,BTTL3,,
Wells Fargo,WFCO34,,
Visa,VISA34,,
Morgan Stanley,MSBR34,,
Mastercard,MSCD34,,
JPMorgan,JPMC34,,
Honeywell,HONB34,,
GE,GEOO34,,
Goldman Sachs,GSGI34,,
Citigroup,CTGP34,,
Bank America,BOAC34,,
3M,MMMC34,,
Sao Carlos,SCAR3,,
LPS Brasil,LPSB3,,
BMG,BMGB4,,
Gradiente,IGBR3,,
General Shopping,GSHP3,,
Porto Seguro,PSSA3,,
CSU CardSyst,CARD3,,
Brasil Brokers,BBRK3,,
BR Properties,BRPR3,,
Banrisul,BRSR6,BRSR5,BRSR3
Banco Inter,BIDI3,BIDI11,BIDI4
Santander BR,SANB4,SANB3,SANB11
Multiplan,MULT3,,
Itaú Unibanco,ITUB3,ITUB4,
Aliansce Sonae,ALSO3,,
Banco Mercantil de Investimentos,BMIN3,,
Mercantil do Brasil Financeira,MERC4,,
Log,LOGG3,,
Itaúsa,ITSA4,ITSA3,
IRB Brasil RE,IRBR3,,
Iguatemi,IGTA3,,
Bradesco,BBDC4,BBDC3,
brMalls,BRML3,,
Alper,APER3,,
BB Seguridade,BBSE3,,
Banco Pan,BPAN4,,
Banco do Brasil,BBAS3,,
American Express,AXPB34,,
Celul Irani,RANI3,,
Freeport,FCXO34,,
Paranapanema,PMAM3,,
Ferbasa,FESA4,FESA3,
Eucatex,EUCA4,EUCA3,
Suzano Papel,SUZB3,,
Klabin S/A,KLBN4,KLBN3,KLBN11
Vale,VALE3,,
Unipar,UNIP6,UNIP5,UNIP3
MMX Mineração,MMXM3,MMXM11,
Gerdau,GOAU4,,
